filename,filepath,subject,session,task,sequence_type,target,clustRegion,clustMask,X,Y,Z
018.02.rest.se_e2.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.02.rest.se_e2.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,018,02,rest,se_e2,seed,ldlpfc,dilate_5,27.0,-43.0,43.0
018.01.rest.se.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.01.rest.se.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,018,01,rest,se,seed,ldlpfc,dilate_5,45.0,-33.0,21.0
018.03.rest.se_e2.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.03.rest.se_e2.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,018,03,rest,se_e2,network,ldlpfc,dilate_5,55.0,-23.0,35.0
018.03.rest.se_e2.errts.targ.network.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.03.rest.se_e2.errts.targ.network.fisher.clust.ldlpfc.orig.1d,018,03,rest,se_e2,network,ldlpfc,orig,51.0,-25.0,33.0
018.01.rest.se_e2.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.01.rest.se_e2.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,018,01,rest,se_e2,network,ldlpfc,erode_1,41.0,-29.0,33.0
018.04.rest.se.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.04.rest.se.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,018,04,rest,se,seed,ldlpfc,erode_1,41.0,-39.0,27.0
018.03.rest.se_e2.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.03.rest.se_e2.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,018,03,rest,se_e2,seed,ldlpfc,erode_1,43.0,-37.0,27.0
018.04.rest.me.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.04.rest.me.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,018,04,rest,me,network,ldlpfc,dilate_5,25.0,-31.0,43.0
018.02.rest.se.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.02.rest.se.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,018,02,rest,se,network,ldlpfc,erode_1,49.0,-23.0,33.0
018.04.rest.se_e2.errts.targ.network.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.04.rest.se_e2.errts.targ.network.fisher.clust.ldlpfc.orig.1d,018,04,rest,se_e2,network,ldlpfc,orig,53.0,-21.0,33.0
018.01.rest.me.errts.targ.network.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.01.rest.me.errts.targ.network.fisher.clust.ldlpfc.orig.1d,018,01,rest,me,network,ldlpfc,orig,27.0,-35.0,31.0
018.03.rest.se.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.03.rest.se.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,018,03,rest,se,network,ldlpfc,dilate_5,53.0,-9.0,41.0
018.02.rest.me.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.02.rest.me.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,018,02,rest,me,network,ldlpfc,dilate_5,55.0,-11.0,43.0
018.03.rest.se.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.03.rest.se.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,018,03,rest,se,network,ldlpfc,erode_1,49.0,-23.0,33.0
018.04.rest.me.errts.targ.network.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.04.rest.me.errts.targ.network.fisher.clust.ldlpfc.orig.1d,018,04,rest,me,network,ldlpfc,orig,53.0,-21.0,33.0
018.02.rest.se_e2.errts.targ.network.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.02.rest.se_e2.errts.targ.network.fisher.clust.ldlpfc.orig.1d,018,02,rest,se_e2,network,ldlpfc,orig,51.0,-23.0,35.0
018.02.rest.me.errts.targ.network.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.02.rest.me.errts.targ.network.fisher.clust.ldlpfc.orig.1d,018,02,rest,me,network,ldlpfc,orig,29.0,-35.0,33.0
018.04.rest.me.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.04.rest.me.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,018,04,rest,me,seed,ldlpfc,dilate_5,27.0,-41.0,47.0
018.04.rest.se.errts.targ.seed.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.04.rest.se.errts.targ.seed.fisher.clust.ldlpfc.orig.1d,018,04,rest,se,seed,ldlpfc,orig,53.0,-13.0,31.0
018.03.rest.se_e2.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.03.rest.se_e2.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,018,03,rest,se_e2,network,ldlpfc,erode_1,47.0,-25.0,33.0
018.04.rest.se_e2.errts.targ.seed.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/018/018.04.rest.se_e2.errts.targ.seed.fisher.clust.ldlpfc.orig.1d,018,04,rest,se_e2,seed,ldlpfc,orig,41.0,-21.0,31.0
