filename,filepath,subject,session,task,sequence_type,target,clustRegion,clustMask,X,Y,Z
103.03.rest.se.errts.targ.seed.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/103/103.03.rest.se.errts.targ.seed.fisher.clust.ldlpfc.orig.1d,103,3,rest,se,seed,ldlpfc,orig,,,
103.03.rest.me.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/103/103.03.rest.me.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,103,3,rest,me,network,ldlpfc,dilate_5,,,
103.02.rest.se.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/103/103.02.rest.se.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,103,2,rest,se,seed,ldlpfc,dilate_5,,,
103.02.rest.me.errts.targ.network.fisher.clust.ldlpfc.orig.1d,/cbica/projects/nbthetaconn/pipeline/results/103/103.02.rest.me.errts.targ.network.fisher.clust.ldlpfc.orig.1d,103,2,rest,me,network,ldlpfc,orig,,,
103.04.rest.me.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/103/103.04.rest.me.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,103,4,rest,me,seed,ldlpfc,erode_1,,,
103.03.rest.me.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/103/103.03.rest.me.errts.targ.seed.fisher.clust.ldlpfc.erode_1.1d,103,3,rest,me,seed,ldlpfc,erode_1,,,
103.02.rest.me.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/103/103.02.rest.me.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,103,2,rest,me,network,ldlpfc,erode_1,,,
103.04.rest.me.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/103/103.04.rest.me.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,103,4,rest,me,network,ldlpfc,dilate_5,,,
103.01.rest.me.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/103/103.01.rest.me.errts.targ.network.fisher.clust.ldlpfc.dilate_5.1d,103,1,rest,me,network,ldlpfc,dilate_5,,,
103.03.rest.se.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,/cbica/projects/nbthetaconn/pipeline/results/103/103.03.rest.se.errts.targ.seed.fisher.clust.ldlpfc.dilate_5.1d,103,3,rest,se,seed,ldlpfc,dilate_5,,,
103.01.rest.me.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/103/103.01.rest.me.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,103,1,rest,me,network,ldlpfc,erode_1,,,
103.02.rest.se.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,/cbica/projects/nbthetaconn/pipeline/results/103/103.02.rest.se.errts.targ.network.fisher.clust.ldlpfc.erode_1.1d,103,2,rest,se,network,ldlpfc,erode_1,,,
