subject,target,clustMask,sequence_type,session_i,session_j,euclidean_distance
4,seed,erode_1,se_e2,0,1,19.7
4,seed,erode_1,se_e2,0,2,10.2
4,seed,erode_1,se_e2,0,3,4.47
4,seed,erode_1,se_e2,1,2,18.0
4,seed,erode_1,se_e2,1,3,19.39
4,seed,erode_1,se_e2,2,3,6.0
4,seed,dilate_5,se,0,1,41.81
4,seed,dilate_5,se,0,2,40.99
4,seed,dilate_5,se,0,3,44.9
4,seed,dilate_5,se,1,2,25.38
4,seed,dilate_5,se,1,3,32.06
4,seed,dilate_5,se,2,3,6.93
4,seed,dilate_5,me,0,1,6.0
4,seed,dilate_5,me,0,2,8.49
4,seed,dilate_5,me,0,3,43.5
4,seed,dilate_5,me,1,2,6.0
4,seed,dilate_5,me,1,3,42.8
4,seed,dilate_5,me,2,3,42.1
4,seed,dilate_5,se_e2,0,1,39.29
4,seed,dilate_5,se_e2,0,2,16.12
4,seed,dilate_5,se_e2,0,3,42.85
4,seed,dilate_5,se_e2,1,2,28.91
4,seed,dilate_5,se_e2,1,3,14.56
4,seed,dilate_5,se_e2,2,3,31.87
4,network,orig,se,0,1,12.0
4,network,orig,se,0,2,2.0
4,network,orig,se,0,3,0.0
4,network,orig,se,1,2,13.42
4,network,orig,se,1,3,12.0
4,network,orig,se,2,3,2.0
4,network,orig,me,0,1,12.0
4,network,orig,me,0,2,12.0
4,network,orig,me,0,3,9.17
4,network,orig,me,1,2,0.0
4,network,orig,me,1,3,4.47
4,network,orig,me,2,3,4.47
4,network,orig,se_e2,0,1,20.49
4,network,orig,se_e2,0,2,8.25
4,network,orig,se_e2,0,3,12.0
4,network,orig,se_e2,1,2,13.56
4,network,orig,se_e2,1,3,26.91
4,network,orig,se_e2,2,3,14.56
4,network,erode_1,se,0,1,14.97
4,network,erode_1,se,0,2,4.47
4,network,erode_1,se,0,3,6.0
4,network,erode_1,se,1,2,15.1
4,network,erode_1,se,1,3,10.77
4,network,erode_1,se,2,3,5.66
4,network,erode_1,me,0,1,16.97
4,network,erode_1,me,0,2,6.93
4,network,erode_1,me,0,3,7.48
4,network,erode_1,me,1,2,14.42
4,network,erode_1,me,1,3,10.2
4,network,erode_1,me,2,3,6.32
4,network,erode_1,se_e2,0,1,9.38
4,network,erode_1,se_e2,0,2,16.61
4,network,erode_1,se_e2,0,3,3.46
4,network,erode_1,se_e2,1,2,18.22
4,network,erode_1,se_e2,1,3,8.25
4,network,erode_1,se_e2,2,3,13.56
4,network,dilate_5,se,0,1,40.69
4,network,dilate_5,se,0,2,3.46
4,network,dilate_5,se,0,3,47.67
4,network,dilate_5,se,1,2,40.05
4,network,dilate_5,se,1,3,10.2
4,network,dilate_5,se,2,3,46.43
4,network,dilate_5,me,0,1,45.69
4,network,dilate_5,me,0,2,34.29
4,network,dilate_5,me,0,3,33.17
4,network,dilate_5,me,1,2,24.82
4,network,dilate_5,me,1,3,17.55
4,network,dilate_5,me,2,3,14.0
4,network,dilate_5,se_e2,0,1,39.7
4,network,dilate_5,se_e2,0,2,3.46
4,network,dilate_5,se_e2,0,3,23.66
4,network,dilate_5,se_e2,1,2,39.04
4,network,dilate_5,se_e2,1,3,40.69
4,network,dilate_5,se_e2,2,3,26.76
5,seed,orig,se,0,1,16.25
5,seed,orig,se,0,2,20.4
5,seed,orig,se,0,3,19.39
5,seed,orig,se,1,2,31.87
5,seed,orig,se,1,3,6.93
5,seed,orig,se,2,3,30.59
5,seed,orig,me,0,1,5.66
5,seed,orig,me,0,2,21.73
5,seed,orig,me,0,3,20.4
5,seed,orig,me,1,2,22.45
5,seed,orig,me,1,3,20.4
5,seed,orig,me,2,3,6.32
5,seed,orig,se_e2,0,1,2.83
5,seed,orig,se_e2,0,2,12.0
5,seed,orig,se_e2,0,3,24.41
5,seed,orig,se_e2,1,2,9.38
5,seed,orig,se_e2,1,3,24.41
5,seed,orig,se_e2,2,3,30.0
5,seed,erode_1,se,0,1,10.95
5,seed,erode_1,se,0,2,8.94
5,seed,erode_1,se,0,3,7.21
5,seed,erode_1,se,1,2,2.83
5,seed,erode_1,se,1,3,11.83
5,seed,erode_1,se,2,3,9.17
5,seed,erode_1,me,0,1,7.21
5,seed,erode_1,me,0,2,11.83
5,seed,erode_1,me,0,3,8.94
5,seed,erode_1,me,1,2,10.95
5,seed,erode_1,me,1,3,4.47
5,seed,erode_1,me,2,3,10.39
5,seed,erode_1,se_e2,0,1,8.25
5,seed,erode_1,se_e2,0,2,6.0
5,seed,erode_1,se_e2,0,3,18.97
5,seed,erode_1,se_e2,1,2,5.66
5,seed,erode_1,se_e2,1,3,12.81
5,seed,erode_1,se_e2,2,3,16.61
5,seed,dilate_5,se,0,1,21.63
5,seed,dilate_5,se,0,2,24.66
5,seed,dilate_5,se,0,3,22.36
5,seed,dilate_5,se,1,2,12.81
5,seed,dilate_5,se,1,3,6.93
5,seed,dilate_5,se,2,3,8.25
5,seed,dilate_5,me,0,1,10.0
5,seed,dilate_5,me,0,2,28.43
5,seed,dilate_5,me,0,3,28.91
5,seed,dilate_5,me,1,2,24.74
5,seed,dilate_5,me,1,3,23.32
5,seed,dilate_5,me,2,3,7.21
5,seed,dilate_5,se_e2,0,1,27.5
5,seed,dilate_5,se_e2,0,2,31.56
5,seed,dilate_5,se_e2,0,3,4.47
5,seed,dilate_5,se_e2,1,2,20.0
5,seed,dilate_5,se_e2,1,3,26.08
5,seed,dilate_5,se_e2,2,3,32.86
5,network,orig,se,0,1,24.08
5,network,orig,se,0,2,26.0
5,network,orig,se,0,3,26.91
5,network,orig,se,1,2,8.0
5,network,orig,se,1,3,10.2
5,network,orig,se,2,3,2.83
5,network,orig,me,0,1,0.0
5,network,orig,me,0,2,26.0
5,network,orig,me,0,3,24.08
5,network,orig,me,1,2,26.0
5,network,orig,me,1,3,24.08
5,network,orig,me,2,3,8.0
5,network,orig,se_e2,0,1,26.91
5,network,orig,se_e2,0,2,7.21
5,network,orig,se_e2,0,3,26.0
5,network,orig,se_e2,1,2,25.61
5,network,orig,se_e2,1,3,2.83
5,network,orig,se_e2,2,3,25.46
5,network,erode_1,se,0,1,0.0
5,network,erode_1,se,0,2,13.27
5,network,erode_1,se,0,3,2.0
5,network,erode_1,se,1,2,13.27
5,network,erode_1,se,1,3,2.0
5,network,erode_1,se,2,3,12.81
5,network,erode_1,me,0,1,7.48
5,network,erode_1,me,0,2,19.08
5,network,erode_1,me,0,3,19.8
5,network,erode_1,me,1,2,12.17
5,network,erode_1,me,1,3,12.65
5,network,erode_1,me,2,3,2.0
5,network,erode_1,se_e2,0,1,17.2
5,network,erode_1,se_e2,0,2,9.8
5,network,erode_1,se_e2,0,3,0.0
5,network,erode_1,se_e2,1,2,14.14
5,network,erode_1,se_e2,1,3,17.2
5,network,erode_1,se_e2,2,3,9.8
5,network,dilate_5,se,0,1,4.47
5,network,dilate_5,se,0,2,2.83
5,network,dilate_5,se,0,3,12.17
5,network,dilate_5,se,1,2,4.47
5,network,dilate_5,se,1,3,16.25
5,network,dilate_5,se,2,3,12.17
5,network,dilate_5,me,0,1,26.98
5,network,dilate_5,me,0,2,2.83
5,network,dilate_5,me,0,3,2.0
5,network,dilate_5,me,1,2,25.77
5,network,dilate_5,me,1,3,25.53
5,network,dilate_5,me,2,3,2.0
5,network,dilate_5,se_e2,0,1,32.8
5,network,dilate_5,se_e2,0,2,31.18
5,network,dilate_5,se_e2,0,3,38.11
5,network,dilate_5,se_e2,1,2,2.83
5,network,dilate_5,se_e2,1,3,7.48
5,network,dilate_5,se_e2,2,3,9.8
6,seed,orig,se,0,1,2.83
6,seed,orig,se,0,2,35.1
6,seed,orig,se,0,3,26.76
6,seed,orig,se,1,2,34.06
6,seed,orig,se,1,3,26.31
6,seed,orig,se,2,3,10.39
6,seed,orig,me,0,1,16.25
6,seed,orig,me,0,2,6.0
6,seed,orig,me,0,3,9.8
6,seed,orig,me,1,2,20.1
6,seed,orig,me,1,3,24.82
6,seed,orig,me,2,3,9.17
6,seed,orig,se_e2,0,1,11.49
6,seed,orig,se_e2,0,2,17.55
6,seed,orig,se_e2,0,3,14.0
6,seed,orig,se_e2,1,2,12.65
6,seed,orig,se_e2,1,3,18.97
6,seed,orig,se_e2,2,3,25.46
6,seed,erode_1,se,0,1,12.81
6,seed,erode_1,se,0,2,8.25
6,seed,erode_1,se,0,3,4.47
6,seed,erode_1,se,1,2,16.25
6,seed,erode_1,se,1,3,14.14
6,seed,erode_1,se,2,3,4.9
6,seed,erode_1,me,0,1,12.81
6,seed,erode_1,me,0,2,4.0
6,seed,erode_1,me,0,3,3.46
6,seed,erode_1,me,1,2,12.17
6,seed,erode_1,me,1,3,14.14
6,seed,erode_1,me,2,3,3.46
6,seed,erode_1,se_e2,0,1,7.48
6,seed,erode_1,se_e2,0,2,6.0
6,seed,erode_1,se_e2,0,3,8.94
6,seed,erode_1,se_e2,1,2,11.49
6,seed,erode_1,se_e2,1,3,15.75
6,seed,erode_1,se_e2,2,3,6.0
6,seed,dilate_5,se,0,1,37.95
6,seed,dilate_5,se,0,2,43.5
6,seed,dilate_5,se,0,3,20.4
6,seed,dilate_5,se,1,2,25.38
6,seed,dilate_5,se,1,3,40.0
6,seed,dilate_5,se,2,3,54.3
6,seed,dilate_5,me,0,1,47.79
6,seed,dilate_5,me,0,2,45.17
6,seed,dilate_5,me,0,3,6.0
6,seed,dilate_5,me,1,2,10.77
6,seed,dilate_5,me,1,3,45.34
6,seed,dilate_5,me,2,3,41.71
6,seed,dilate_5,se_e2,0,1,34.58
6,seed,dilate_5,se_e2,0,2,25.69
6,seed,dilate_5,se_e2,0,3,40.4
6,seed,dilate_5,se_e2,1,2,23.15
6,seed,dilate_5,se_e2,1,3,26.76
6,seed,dilate_5,se_e2,2,3,22.72
6,network,orig,se,0,1,4.9
6,network,orig,se,0,2,0.0
6,network,orig,se,0,3,2.83
6,network,orig,se,1,2,4.9
6,network,orig,se,1,3,2.83
6,network,orig,se,2,3,2.83
6,network,orig,me,0,1,2.83
6,network,orig,me,0,2,2.83
6,network,orig,me,0,3,0.0
6,network,orig,me,1,2,0.0
6,network,orig,me,1,3,2.83
6,network,orig,me,2,3,2.83
6,network,orig,se_e2,0,1,12.81
6,network,orig,se_e2,0,2,8.72
6,network,orig,se_e2,0,3,10.77
6,network,orig,se_e2,1,2,4.9
6,network,orig,se_e2,1,3,4.0
6,network,orig,se_e2,2,3,4.9
6,network,erode_1,se,0,1,8.94
6,network,erode_1,se,0,2,8.94
6,network,erode_1,se,0,3,4.9
6,network,erode_1,se,1,2,0.0
6,network,erode_1,se,1,3,9.38
6,network,erode_1,se,2,3,9.38
6,network,erode_1,me,0,1,9.38
6,network,erode_1,me,0,2,9.38
6,network,erode_1,me,0,3,9.38
6,network,erode_1,me,1,2,0.0
6,network,erode_1,me,1,3,0.0
6,network,erode_1,me,2,3,0.0
6,network,erode_1,se_e2,0,1,11.66
6,network,erode_1,se_e2,0,2,12.65
6,network,erode_1,se_e2,0,3,4.47
6,network,erode_1,se_e2,1,2,2.83
6,network,erode_1,se_e2,1,3,10.39
6,network,erode_1,se_e2,2,3,12.17
6,network,dilate_5,se,0,1,14.14
6,network,dilate_5,se,0,2,42.61
6,network,dilate_5,se,0,3,42.0
6,network,dilate_5,se,1,2,31.87
6,network,dilate_5,se,1,3,31.69
6,network,dilate_5,se,2,3,2.0
6,network,dilate_5,me,0,1,46.56
6,network,dilate_5,me,0,2,47.71
6,network,dilate_5,me,0,3,46.86
6,network,dilate_5,me,1,2,2.0
6,network,dilate_5,me,1,3,12.81
6,network,dilate_5,me,2,3,14.14
6,network,dilate_5,se_e2,0,1,43.59
6,network,dilate_5,se_e2,0,2,10.77
6,network,dilate_5,se_e2,0,3,44.68
6,network,dilate_5,se_e2,1,2,39.7
6,network,dilate_5,se_e2,1,3,16.97
6,network,dilate_5,se_e2,2,3,44.81
7,seed,orig,se,0,1,7.48
7,seed,orig,se,0,2,15.75
7,seed,orig,se,0,3,8.94
7,seed,orig,se,1,2,10.95
7,seed,orig,se,1,3,10.95
7,seed,orig,se,2,3,19.39
7,seed,orig,me,0,1,15.36
7,seed,orig,me,0,2,13.86
7,seed,orig,me,0,3,14.7
